trial,i,control,prob_i,prob_control,delta_prob,delta_b,delta_pos
0,1,0,1.6645934661461004e-05,7.460190343783133e-05,-5.795596877637032e-05,0,1
0,2,0,1.3663815237795356e-06,7.460190343783133e-05,-7.32355219140518e-05,2,2
0,3,0,3.454753521874914e-07,7.460190343783133e-05,-7.425642808564384e-05,6,3
0,4,0,9.390993720317467e-07,7.460190343783133e-05,-7.366280406579958e-05,12,4
0,5,0,0.9966612841157669,7.460190343783133e-05,0.9965866822123292,0,5
0,6,0,6.123697141034616e-06,7.460190343783133e-05,-6.84782062967967e-05,3,6
0,7,0,0.0031721536534407915,7.460190343783133e-05,0.0030975517500029604,0,7
0,8,0,2.1373803189839382e-05,7.460190343783133e-05,-5.322810024799194e-05,0,8
0,9,0,4.524834170796601e-05,7.460190343783133e-05,-2.9353561729865315e-05,0,9
1,0,1,0.0014831677942869458,4.478780792020327e-05,0.0014383799863667425,0,-1
1,2,1,7.7829540007948e-06,4.478780792020327e-05,-3.700485391940847e-05,0,1
1,3,1,3.4880779880305976e-05,4.478780792020327e-05,-9.907028039897293e-06,0,2
1,4,1,0.010959210036113476,4.478780792020327e-05,0.010914422228193272,0,3
1,5,1,0.9865167002216771,4.478780792020327e-05,0.986471912413757,1,4
1,6,1,9.48157901111156e-05,4.478780792020327e-05,5.0027982190912336e-05,0,5
1,7,1,1.7366117726252066e-06,4.478780792020327e-05,-4.3051196147578064e-05,0,6
1,8,1,0.00015632480995443515,4.478780792020327e-05,0.00011153700203423187,0,7
1,9,1,0.0007005988581238189,4.478780792020327e-05,0.0006558110502036156,0,8
2,0,2,0.9999777083605178,2.1444937927240387e-05,0.9999562634225906,1,-2
2,1,2,6.475810130566981e-07,2.1444937927240387e-05,-2.0797356914183688e-05,5,-1
2,3,2,5.31566358714795e-08,2.1444937927240387e-05,-2.1391781291368907e-05,0,1
2,4,2,1.855350665963254e-07,2.1444937927240387e-05,-2.1259402860644063e-05,0,2
2,5,2,5.905168838808726e-10,2.1444937927240387e-05,-2.1444347410356508e-05,2,3
2,6,2,2.0611064469159156e-09,2.1444937927240387e-05,-2.144287682079347e-05,3,4
2,7,2,1.2501242529858721e-09,2.1444937927240387e-05,-2.14436878029874e-05,0,5
2,8,2,2.646513064338999e-09,2.1444937927240387e-05,-2.144229141417605e-05,0,6
2,9,2,1.0815694002862636e-11,2.1444937927240387e-05,-2.1444927111546385e-05,0,7
3,0,3,0.0007072124248700128,0.00012289515052777415,0.0005843172743422386,1,-3
3,1,3,4.521059929883784e-05,0.00012289515052777415,-7.768455122893631e-05,0,-2
3,2,3,0.00012289515052777415,0.00012289515052777415,0.0,0,-1
3,4,3,0.0031695061949472162,0.00012289515052777415,0.003046611044419442,0,1
3,5,3,2.890216917048176e-06,0.00012289515052777415,-0.00012000493361072597,0,2
3,6,3,0.9958294060080528,0.00012289515052777415,0.995706510857525,6,3
3,7,3,7.164131474171098e-09,0.00012289515052777415,-0.00012288798639629997,0,4
