trial,i,control,prob_i,prob_control,delta_prob,delta_b,delta_pos
0,1,0,0.07648626167357095,0.06749888901720122,0.00898737265636973,0,1
0,2,0,0.16192141723359108,0.06749888901720122,0.09442252821638986,0,2
0,3,0,0.14289514917075205,0.06749888901720122,0.07539626015355083,0,3
0,4,0,0.14289514917075205,0.06749888901720122,0.07539626015355083,0,4
0,5,0,0.11128685407128691,0.06749888901720122,0.04378796505408569,2,5
0,6,0,0.09821030401629456,0.06749888901720122,0.030711414999093342,0,6
0,7,0,0.05256818762304615,0.06749888901720122,-0.014930701394155067,14,7
0,8,0,0.0866702890962714,0.06749888901720122,0.019171400079070186,5,8
0,9,0,0.059567560485581435,0.06749888901720122,-0.007931328531619784,2,9
1,0,1,0.023669630644616902,0.15434538007856946,-0.13067574943395255,2,-1
1,2,1,0.08261512862616158,0.15434538007856946,-0.07173025145240788,0,1
1,3,1,0.03443910937510147,0.15434538007856946,-0.11990627070346799,1,2
1,4,1,0.03039240735129915,0.15434538007856946,-0.12395297272727031,2,3
1,5,1,0.011180739166554503,0.15434538007856946,-0.14316464091201495,2,4
1,6,1,0.011180739166554503,0.15434538007856946,-0.14316464091201495,1,5
1,7,1,0.03443910937510147,0.15434538007856946,-0.11990627070346799,3,6
1,8,1,0.41955424197418006,0.15434538007856946,0.2652088618956106,0,7
1,9,1,0.19818339096921297,0.15434538007856946,0.043838010890643514,0,8
2,0,2,0.07154721009568453,0.049173630426169186,0.022373579669515344,3,-2
2,1,2,0.049173630426169186,0.049173630426169186,0.0,0,-1
2,3,2,0.04339557653993393,0.049173630426169186,-0.005778053886235257,0,1
2,4,2,0.24972430088351527,0.049173630426169186,0.2005506704573461,1,2
2,5,2,0.19448548108004082,0.049173630426169186,0.14531185065387164,1,3
2,6,2,0.17163283465081094,0.049173630426169186,0.12245920422464177,19,4
2,7,2,0.02982531450284962,0.049173630426169186,-0.019348315923319565,1,5
2,8,2,0.09186843625595673,0.049173630426169186,0.04269480582978754,0,6
2,9,2,0.049173630426169186,0.049173630426169186,0.0,0,7
3,0,3,0.05827897999165363,0.15841869229244032,-0.10013971230078669,0,-3
3,1,3,0.15841869229244032,0.15841869229244032,0.0,0,-2
3,2,3,0.07483169156791959,0.15841869229244032,-0.08358700072452073,1,-1
3,4,3,0.10887946877268026,0.15841869229244032,-0.04953922351976006,1,1
3,5,3,0.12337660161050046,0.15841869229244032,-0.035042090681939864,0,2
3,6,3,0.05827897999165363,0.15841869229244032,-0.10013971230078669,0,3
3,7,3,0.04005451812713712,0.15841869229244032,-0.1183641741653032,0,4
3,8,3,0.12337660161050046,0.15841869229244032,-0.035042090681939864,1,5
3,9,3,0.09608579394694651,0.15841869229244032,-0.06233289834549381,0,6
4,0,4,0.031483009291765514,0.08557969206301347,-0.054096682771247954,1,-4
4,1,4,0.12451771721735402,0.08557969206301347,0.038938025154340555,0,-3
4,2,4,0.10988649976121947,0.08557969206301347,0.024306807698206007,0,-2
4,3,4,0.06664953119368458,0.08557969206301347,-0.018930160869328888,0,-1
4,5,4,0.08557969206301347,0.08557969206301347,0.0,0,1
4,6,4,0.10988649976121947,0.08557969206301347,0.024306807698206007,0,2
4,7,4,0.06664953119368458,0.08557969206301347,-0.018930160869328888,2,3
4,8,4,0.15988391373501937,0.08557969206301347,0.0743042216720059,3,4
4,9,4,0.15988391373501937,0.08557969206301347,0.0743042216720059,0,5
5,0,5,0.07732710476626894,0.14446605087951989,-0.06713894611325094,1,-5
5,1,5,0.06824093044206685,0.14446605087951989,-0.07622512043745304,0,-4
5,2,5,0.12749084242980485,0.14446605087951989,-0.016975208449715035,0,-3
5,3,5,0.07732710476626894,0.14446605087951989,-0.06713894611325094,19,-2
5,4,5,0.08762308914603406,0.14446605087951989,-0.056842961733485825,7,-1
5,6,5,0.12749084242980485,0.14446605087951989,-0.016975208449715035,0,1
5,7,5,0.07732710476626894,0.14446605087951989,-0.06713894611325094,0,2
5,8,5,0.14446605087951989,0.14446605087951989,0.0,0,3
5,9,5,0.06824093044206685,0.14446605087951989,-0.07622512043745304,1,4
6,0,6,0.014744859414994073,0.06608187528385025,-0.051337015868856174,19,-6
6,1,6,0.018932774254339934,0.06608187528385025,-0.04714910102951031,9,-5
6,2,6,0.5532968005539473,0.06608187528385025,0.487214925270097,0,-4
6,3,6,0.014744859414994073,0.06608187528385025,-0.051337015868856174,1,-3
6,4,6,0.17962916077458704,0.06608187528385025,0.1135472854907368,0,-2
6,5,6,0.014744859414994073,0.06608187528385025,-0.051337015868856174,1,-1
6,7,6,0.0054243306417395,0.06608187528385025,-0.06065754464211075,0,1
6,8,6,0.12345719635859352,0.06608187528385025,0.057375321074743274,0,2
6,9,6,0.008943209308346389,0.06608187528385025,-0.057138665975503856,19,3
7,0,7,0.06222282849232306,0.015732394805827023,0.04649043368649604,0,-7
7,1,7,0.06222282849232306,0.015732394805827023,0.04649043368649604,2,-6
7,2,7,0.102588100858419,0.015732394805827023,0.08685570605259198,11,-5
7,3,7,0.07050770185151832,0.015732394805827023,0.05477530704569129,2,-4
7,4,7,0.3580676553505679,0.015732394805827023,0.3423352605447409,0,-3
7,5,7,0.102588100858419,0.015732394805827023,0.08685570605259198,0,-2
7,6,7,0.054911453414527606,0.015732394805827023,0.03917905860870058,0,-1
7,8,7,0.11624754779078106,0.015732394805827023,0.10051515298495403,0,1
7,9,7,0.054911453414527606,0.015732394805827023,0.03917905860870058,4,2
8,0,8,0.08103482550513315,0.09182448716568183,-0.010789661660548677,3,-8
8,1,8,0.07151298250976316,0.09182448716568183,-0.02031150465591866,0,-7
8,2,8,0.10405077558544701,0.09182448716568183,0.012226288419765183,0,-6
8,3,8,0.15139298516119054,0.09182448716568183,0.059568497995508715,19,-5
8,4,8,0.17155072694057205,0.09182448716568183,0.07972623977489023,2,-4
8,5,8,0.0382781411758294,0.09182448716568183,-0.053546345989852424,2,-3
8,6,8,0.17155072694057205,0.09182448716568183,0.07972623977489023,0,-2
8,7,8,0.055694366778375234,0.09182448716568183,-0.03613012038730659,0,-1
8,9,8,0.06310998555945234,0.09182448716568183,-0.028714501606229487,0,1
9,0,9,0.06532426968603786,0.05764846566152919,0.007675804024508667,1,-9
9,1,9,0.15670477664628005,0.05764846566152919,0.09905631098475086,0,-8
9,2,9,0.05764846566152919,0.05764846566152919,0.0,0,-7
9,3,9,0.07402209514245398,0.05764846566152919,0.016373629480924787,0,-6
9,4,9,0.1077015129243222,0.05764846566152919,0.05005304726279301,0,-5
9,5,9,0.09504625155938912,0.05764846566152919,0.03739778589785993,0,-4
9,6,9,0.07402209514245398,0.05764846566152919,0.016373629480924787,1,-3
9,7,9,0.08387802260343716,0.05764846566152919,0.02622955694190797,19,-2
9,8,9,0.2280041046500003,0.05764846566152919,0.17035563898847111,0,-1
10,1,0,0.11055858571313742,0.1252792903740978,-0.014720704660960371,0,1
10,2,0,0.11055858571313742,0.1252792903740978,-0.014720704660960371,0,2
