trial,pos,prob,bystander,urgency,mean_context,sd_context
0,0,0.9626730730490257,1,0,3.0,2.8284271247461903
0,1,0.037326888033261264,5,0,3.0,2.8284271247461903
1,0,0.9626730730490257,1,1,1.0,0.0
1,1,0.037326888033261264,1,1,1.0,0.0
2,0,0.9933071486460123,2,1,2.0,0.0
2,1,0.006692851264215723,2,0,2.0,0.0
3,0,0.9046505126460354,1,0,1.5,0.7071067811865476
3,1,0.09534945969074979,2,0,1.5,0.7071067811865476
4,0,0.9324532798296303,2,1,1.5,0.7071067811865476
4,1,0.06754668601707708,1,1,1.5,0.7071067811865476
5,0,0.9149009617112335,2,0,4.5,3.5355339059327378
5,1,0.0850990481680644,7,1,4.5,3.5355339059327378
6,0,0.49999999904767284,1,0,1.0,0.0
6,1,0.49999999904767284,1,0,1.0,0.0
7,0,0.9399133253553882,5,0,10.5,7.7781745930520225
7,1,0.060086648833494447,16,0,10.5,7.7781745930520225
8,0,0.754915012257653,1,0,1.0,0.0
8,1,0.24508502137530588,1,0,1.0,0.0
9,0,0.9924227367154145,1,1,1.0,0.0
9,1,0.0075772417595770785,1,0,1.0,0.0
10,0,0.20181323122263276,2,0,1.5,0.7071067811865476
10,1,0.7981868012921127,1,1,1.5,0.7071067811865476
11,0,0.998299277400732,1,1,1.0,0.0
11,1,0.0017007221761010042,1,0,1.0,0.0
12,0,0.8670357344411265,1,0,2.5,2.1213203435596424
12,1,0.1329642264019799,4,0,2.5,2.1213203435596424
13,0,0.468790644981626,2,0,1.5,0.7071067811865476
13,1,0.5312093941731293,1,0,1.5,0.7071067811865476
14,0,0.7310585348819939,1,0,1.0,0.0
14,1,0.2689414052760013,1,0,1.0,0.0
15,0,0.9924227367154145,1,1,6.5,7.7781745930520225
15,1,0.0075772417595770785,12,0,6.5,7.7781745930520225
16,0,0.6791786964925157,4,0,2.5,2.1213203435596424
16,1,0.32082130911852547,1,0,2.5,2.1213203435596424
17,0,0.9324532798296303,1,1,9.0,11.313708498984761
17,1,0.06754668601707708,17,1,9.0,11.313708498984761
18,0,0.7310585348819939,1,1,1.5,0.7071067811865476
18,1,0.2689414052760013,2,1,1.5,0.7071067811865476
19,0,0.0013250221745998098,3,0,2.0,1.4142135623730951
19,1,0.9986749586521727,1,1,2.0,1.4142135623730951
20,0,0.8933094388302324,1,1,1.0,0.0
20,1,0.10669059229582412,1,0,1.0,0.0
21,0,0.5312093941731293,6,0,4.0,2.8284271247461903
21,1,0.468790644981626,2,0,4.0,2.8284271247461903
22,0,0.9840936333731766,2,0,11.0,12.727922061357855
22,1,0.01590639377644191,20,0,11.0,12.727922061357855
23,0,0.754915012257653,1,0,1.0,0.0
23,1,0.24508502137530588,1,0,1.0,0.0
24,0,0.5621765025686553,1,0,1.0,0.0
24,1,0.43782350042481233,1,0,1.0,0.0
25,0,0.9626730730490257,2,1,1.5,0.7071067811865476
25,1,0.037326888033261264,1,0,1.5,0.7071067811865476
26,0,0.5926665998515953,3,0,2.5,0.7071067811865476
26,1,0.4073333999755006,2,0,2.5,0.7071067811865476
27,0,0.9706877714009485,1,0,2.5,2.1213203435596424
27,1,0.029312232836486894,4,0,2.5,2.1213203435596424
28,0,0.10669059229582412,1,0,1.0,0.0
28,1,0.8933094388302324,1,1,1.0,0.0
29,0,0.5621765025686553,6,0,4.0,2.8284271247461903
29,1,0.43782350042481233,2,0,4.0,2.8284271247461903
30,0,0.9706877714009485,1,0,1.0,0.0
30,1,0.029312232836486894,1,0,1.0,0.0
31,0,0.754915012257653,11,1,9.0,2.8284271247461903
31,1,0.24508502137530588,7,0,9.0,2.8284271247461903
32,0,0.9740426242523998,1,0,4.5,4.949747468305833
32,1,0.02595735728365348,8,0,4.5,4.949747468305833
33,0,0.14804720844715558,15,0,8.0,9.899494936611665
33,1,0.8519528492100928,1,0,8.0,9.899494936611665
34,0,0.9971990580965346,1,0,10.5,13.435028842544403
34,1,0.0028009272492822593,20,0,10.5,13.435028842544403
35,0,0.9924227367154145,3,1,2.0,1.4142135623730951
35,1,0.0075772417595770785,1,0,2.0,1.4142135623730951
36,0,0.9465966588755665,3,0,3.0,0.0
36,1,0.053403323988418246,3,0,3.0,0.0
37,0,0.77729988964086,6,0,4.0,2.8284271247461903
37,1,0.2227001469810028,2,0,4.0,2.8284271247461903
38,0,0.9859363803758086,2,0,11.0,12.727922061357855
38,1,0.014063626520379485,20,0,11.0,12.727922061357855
39,0,0.77729988964086,1,0,1.0,0.0
39,1,0.2227001469810028,1,0,1.0,0.0
40,0,0.9706877714009485,5,1,3.5,2.1213203435596424
40,1,0.029312232836486894,2,0,3.5,2.1213203435596424
41,0,0.9241418055144026,1,1,1.0,0.0
41,1,0.07585817148650026,1,1,1.0,0.0
42,0,0.6224593298742985,1,0,1.0,0.0
42,1,0.377540667992942,1,0,1.0,0.0
43,0,0.7981868012921127,2,0,1.5,0.7071067811865476
43,1,0.20181323122263276,1,0,1.5,0.7071067811865476
44,0,0.09534945969074979,1,0,1.0,0.0
44,1,0.9046505126460354,1,1,1.0,0.0
45,0,0.9149009617112335,1,0,2.0,1.4142135623730951
45,1,0.0850990481680644,3,0,2.0,1.4142135623730951
46,0,0.0850990481680644,5,0,3.0,2.8284271247461903
46,1,0.9149009617112335,1,1,3.0,2.8284271247461903
47,0,0.754915012257653,5,1,3.0,2.8284271247461903
47,1,0.24508502137530588,1,0,3.0,2.8284271247461903
48,0,0.705785027818136,1,1,1.0,0.0
48,1,0.2942149721551204,1,0,1.0,0.0
49,0,0.5926665998515953,1,0,1.0,0.0
49,1,0.4073333999755006,1,0,1.0,0.0
50,0,0.9525741476724274,1,1,1.0,0.0
50,1,0.047425874568977164,1,0,1.0,0.0
51,0,0.9399133253553882,1,0,5.0,5.656854249492381
51,1,0.060086648833494447,9,0,5.0,5.656854249492381
52,0,0.754915012257653,1,0,1.0,0.0
52,1,0.24508502137530588,1,0,1.0,0.0
53,0,0.8807970468833343,1,1,1.0,0.0
53,1,0.11920291248514252,1,0,1.0,0.0
54,0,0.9149009617112335,1,0,3.5,3.5355339059327378
54,1,0.0850990481680644,6,0,3.5,3.5355339059327378
55,0,0.3486451328151311,1,0,1.0,0.0
55,1,0.6513548793721767,1,1,1.0,0.0
56,0,0.9820137577607906,1,0,10.5,13.435028842544403
56,1,0.017986211314027313,20,0,10.5,13.435028842544403
57,0,0.9241418055144026,7,0,5.5,2.1213203435596424
57,1,0.07585817148650026,4,0,5.5,2.1213203435596424
58,0,0.8354835282744484,2,0,1.5,0.7071067811865476
58,1,0.16451646851249135,1,0,1.5,0.7071067811865476
59,0,0.24508502137530588,1,0,1.0,0.0
59,1,0.754915012257653,1,1,1.0,0.0
60,0,0.754915012257653,2,0,1.5,0.7071067811865476
60,1,0.24508502137530588,1,0,1.5,0.7071067811865476
61,0,0.9740426242523998,2,1,1.5,0.7071067811865476
61,1,0.02595735728365348,1,0,1.5,0.7071067811865476
62,0,0.7981868012921127,5,1,3.0,2.8284271247461903
62,1,0.20181323122263276,1,0,3.0,2.8284271247461903
63,0,0.8175744308728488,1,0,2.0,1.4142135623730951
63,1,0.18242550282051248,3,0,2.0,1.4142135623730951
64,0,0.9525741476724274,1,0,2.0,1.4142135623730951
64,1,0.047425874568977164,3,0,2.0,1.4142135623730951
65,0,0.8807970468833343,1,0,10.5,13.435028842544403
65,1,0.11920291248514252,20,0,10.5,13.435028842544403
66,0,0.9924227367154145,1,1,10.5,13.435028842544403
66,1,0.0075772417595770785,20,0,10.5,13.435028842544403
67,0,0.5621765025686553,4,0,3.0,1.4142135623730951
67,1,0.43782350042481233,2,0,3.0,1.4142135623730951
68,0,0.9579122415395819,2,1,2.0,0.0
68,1,0.04208773002293215,2,0,2.0,0.0
69,0,0.8175744308728488,1,0,1.0,0.0
69,1,0.18242550282051248,1,0,1.0,0.0
70,0,0.705785027818136,1,1,1.0,0.0
70,1,0.2942149721551204,1,1,1.0,0.0
71,0,0.9626730730490257,1,1,10.5,13.435028842544403
71,1,0.037326888033261264,20,1,10.5,13.435028842544403
72,0,0.7310585348819939,13,0,8.0,7.0710678118654755
72,1,0.2689414052760013,3,0,8.0,7.0710678118654755
73,0,0.9241418055144026,1,1,1.0,0.0
73,1,0.07585817148650026,1,0,1.0,0.0
74,0,0.9399133253553882,1,0,3.0,2.8284271247461903
74,1,0.060086648833494447,5,1,3.0,2.8284271247461903
75,0,0.49999999904767284,1,0,2.0,1.4142135623730951
75,1,0.49999999904767284,3,1,2.0,1.4142135623730951
76,0,0.9971990580965346,1,1,1.5,0.7071067811865476
76,1,0.0028009272492822593,2,0,1.5,0.7071067811865476
77,0,0.8354835282744484,1,0,1.0,0.0
77,1,0.16451646851249135,1,0,1.0,0.0
78,0,0.5621765025686553,1,0,1.0,0.0
78,1,0.43782350042481233,1,0,1.0,0.0
79,0,0.9525741476724274,1,0,8.0,9.899494936611665
79,1,0.047425874568977164,15,1,8.0,9.899494936611665
80,0,0.14804720844715558,12,0,6.5,7.7781745930520225
80,1,0.8519528492100928,1,0,6.5,7.7781745930520225
81,0,0.9669140641779405,1,1,8.0,9.899494936611665
81,1,0.03308598070803878,15,0,8.0,9.899494936611665
82,0,0.5312093941731293,2,0,1.5,0.7071067811865476
82,1,0.468790644981626,1,0,1.5,0.7071067811865476
83,0,0.5621765025686553,1,0,1.0,0.0
83,1,0.43782350042481233,1,0,1.0,0.0
84,0,0.9525741476724274,6,1,3.5,3.5355339059327378
84,1,0.047425874568977164,1,0,3.5,3.5355339059327378
85,0,0.98756834804845,2,0,2.0,0.0
85,1,0.01243165364120602,2,0,2.0,0.0
86,0,0.8807970468833343,1,0,1.5,0.7071067811865476
86,1,0.11920291248514252,2,0,1.5,0.7071067811865476
87,0,0.0075772417595770785,1,0,1.0,0.0
87,1,0.9924227367154145,1,1,1.0,0.0
88,0,0.6791786964925157,2,0,1.5,0.7071067811865476
88,1,0.32082130911852547,1,0,1.5,0.7071067811865476
89,0,0.3486451328151311,1,0,1.0,0.0
89,1,0.6513548793721767,1,1,1.0,0.0
90,0,0.9988304957495425,2,1,1.5,0.7071067811865476
90,1,0.0011695103074966034,1,0,1.5,0.7071067811865476
91,0,0.9579122415395819,2,1,1.5,0.7071067811865476
91,1,0.04208773002293215,1,0,1.5,0.7071067811865476
92,0,0.16451646851249135,2,0,1.5,0.7071067811865476
92,1,0.8354835282744484,1,1,1.5,0.7071067811865476
93,0,0.8175744308728488,3,1,3.5,0.7071067811865476
93,1,0.18242550282051248,4,1,3.5,0.7071067811865476
94,0,0.43782350042481233,1,0,1.0,0.0
94,1,0.5621765025686553,1,0,1.0,0.0
95,0,0.9046505126460354,1,0,1.0,0.0
95,1,0.09534945969074979,1,0,1.0,0.0
96,0,0.6224593298742985,1,0,1.0,0.0
96,1,0.377540667992942,1,0,1.0,0.0
97,0,0.24508502137530588,4,0,2.5,2.1213203435596424
97,1,0.754915012257653,1,1,2.5,2.1213203435596424
98,0,0.9324532798296303,1,0,1.0,0.0
98,1,0.06754668601707708,1,0,1.0,0.0
99,0,0.705785027818136,2,0,1.5,0.7071067811865476
99,1,0.2942149721551204,1,0,1.5,0.7071067811865476
100,0,0.9947799187523881,1,1,1.5,0.7071067811865476
100,1,0.005220125868449866,2,0,1.5,0.7071067811865476
101,0,0.9669140641779405,7,0,5.5,2.1213203435596424
101,1,0.03308598070803878,4,0,5.5,2.1213203435596424
102,0,0.5926665998515953,2,0,2.0,0.0
102,1,0.4073333999755006,2,0,2.0,0.0
103,0,0.49999999904767284,20,0,11.5,12.020815280171307
103,1,0.49999999904767284,3,0,11.5,12.020815280171307
104,0,0.8933094388302324,2,0,1.5,0.7071067811865476
104,1,0.10669059229582412,1,0,1.5,0.7071067811865476
105,0,0.8933094388302324,1,0,1.5,0.7071067811865476
105,1,0.10669059229582412,2,0,1.5,0.7071067811865476
106,0,0.6224593298742985,1,0,1.0,0.0
106,1,0.377540667992942,1,0,1.0,0.0
107,0,0.8175744308728488,1,0,1.0,0.0
107,1,0.18242550282051248,1,0,1.0,0.0
108,0,0.468790644981626,1,0,1.5,0.7071067811865476
108,1,0.5312093941731293,2,1,1.5,0.7071067811865476
109,0,0.9706877714009485,1,0,10.5,13.435028842544403
109,1,0.029312232836486894,20,1,10.5,13.435028842544403
110,0,0.9859363803758086,8,1,7.0,1.4142135623730951
110,1,0.014063626520379485,6,0,7.0,1.4142135623730951
111,0,0.6791786964925157,9,0,5.5,4.949747468305833
111,1,0.32082130911852547,2,0,5.5,4.949747468305833
112,0,0.98756834804845,1,1,1.0,0.0
112,1,0.01243165364120602,1,0,1.0,0.0
113,0,0.9241418055144026,3,1,2.5,0.7071067811865476
113,1,0.07585817148650026,2,1,2.5,0.7071067811865476
114,0,0.9840936333731766,1,1,1.0,0.0
114,1,0.01590639377644191,1,0,1.0,0.0
115,0,0.9796676467868737,1,0,1.5,0.7071067811865476
115,1,0.020332353231731236,2,0,1.5,0.7071067811865476
116,0,0.998299277400732,1,1,1.0,0.0
116,1,0.0017007221761010042,1,0,1.0,0.0
117,0,0.9902915259830074,2,1,4.5,3.5355339059327378
117,1,0.009708474760582547,7,0,4.5,3.5355339059327378
118,0,0.9525741476724274,1,0,2.0,1.4142135623730951
118,1,0.047425874568977164,3,0,2.0,1.4142135623730951
119,0,0.9399133253553882,1,0,1.5,0.7071067811865476
119,1,0.060086648833494447,2,0,1.5,0.7071067811865476
120,0,0.5621765025686553,2,0,1.5,0.7071067811865476
120,1,0.43782350042481233,1,0,1.5,0.7071067811865476
121,0,0.6791786964925157,3,0,2.0,1.4142135623730951
121,1,0.32082130911852547,1,0,2.0,1.4142135623730951
122,0,0.2227001469810028,1,0,1.0,0.0
122,1,0.77729988964086,1,1,1.0,0.0
123,0,0.9964064026944253,1,1,4.0,4.242640687119285
123,1,0.003593602418046988,7,0,4.0,4.242640687119285
124,0,0.49999999904767284,1,0,1.0,0.0
124,1,0.49999999904767284,1,0,1.0,0.0
125,0,0.4073333999755006,1,0,1.0,0.0
125,1,0.5926665998515953,1,0,1.0,0.0
126,0,0.8933094388302324,1,0,1.5,0.7071067811865476
126,1,0.10669059229582412,2,0,1.5,0.7071067811865476
127,0,0.9579122415395819,5,1,5.0,0.0
127,1,0.04208773002293215,5,1,5.0,0.0
128,0,0.8175744308728488,1,0,2.5,2.1213203435596424
128,1,0.18242550282051248,4,1,2.5,2.1213203435596424
129,0,0.754915012257653,2,0,1.5,0.7071067811865476
129,1,0.24508502137530588,1,0,1.5,0.7071067811865476
130,0,0.5621765025686553,1,0,1.0,0.0
130,1,0.43782350042481233,1,0,1.0,0.0
131,0,0.9241418055144026,2,1,1.5,0.7071067811865476
131,1,0.07585817148650026,1,0,1.5,0.7071067811865476
132,0,0.8175744308728488,1,0,1.5,0.7071067811865476
132,1,0.18242550282051248,2,1,1.5,0.7071067811865476
133,0,0.6791786964925157,3,0,2.0,1.4142135623730951
133,1,0.32082130911852547,1,1,2.0,1.4142135623730951
134,0,0.2227001469810028,1,0,1.0,0.0
134,1,0.77729988964086,1,1,1.0,0.0
135,0,0.9626730730490257,1,1,5.5,6.363961030678928
135,1,0.037326888033261264,10,1,5.5,6.363961030678928
136,0,0.43782350042481233,2,0,1.5,0.7071067811865476
136,1,0.5621765025686553,1,1,1.5,0.7071067811865476
137,0,0.16451646851249135,20,1,10.5,13.435028842544403
137,1,0.8354835282744484,1,1,10.5,13.435028842544403
138,0,0.2227001469810028,5,0,3.5,2.1213203435596424
138,1,0.77729988964086,2,1,3.5,2.1213203435596424
139,0,0.9796676467868737,1,1,2.0,1.4142135623730951
139,1,0.020332353231731236,3,1,2.0,1.4142135623730951
140,0,0.9990889988442552,1,1,9.0,11.313708498984761
140,1,0.0009110514045295695,17,0,9.0,11.313708498984761
141,0,0.4073333999755006,4,0,2.5,2.1213203435596424
141,1,0.5926665998515953,1,1,2.5,2.1213203435596424
142,0,0.9465966588755665,2,0,1.5,0.7071067811865476
142,1,0.053403323988418246,1,0,1.5,0.7071067811865476
143,0,0.060086648833494447,20,0,10.5,13.435028842544403
143,1,0.9399133253553882,1,1,10.5,13.435028842544403
144,0,0.7310585348819939,1,0,1.0,0.0
144,1,0.2689414052760013,1,0,1.0,0.0
145,0,0.43782350042481233,1,0,1.0,0.0
145,1,0.5621765025686553,1,0,1.0,0.0
146,0,0.9890130589396958,1,1,1.0,0.0
146,1,0.010986941583869245,1,0,1.0,0.0
147,0,0.09534945969074979,20,0,11.0,12.727922061357855
147,1,0.9046505126460354,2,0,11.0,12.727922061357855
148,0,0.9859363803758086,1,1,10.5,13.435028842544403
148,1,0.014063626520379485,20,1,10.5,13.435028842544403
149,0,0.5621765025686553,1,1,1.0,0.0
149,1,0.43782350042481233,1,0,1.0,0.0
150,0,0.468790644981626,20,0,11.5,12.020815280171307
150,1,0.5312093941731293,3,0,11.5,12.020815280171307
151,0,0.8807970468833343,1,0,1.0,0.0
151,1,0.11920291248514252,1,0,1.0,0.0
152,0,0.0850990481680644,13,0,7.0,8.48528137423857
152,1,0.9149009617112335,1,0,7.0,8.48528137423857
153,0,0.9840936333731766,1,1,1.0,0.0
153,1,0.01590639377644191,1,0,1.0,0.0
154,0,0.9149009617112335,2,1,1.5,0.7071067811865476
154,1,0.0850990481680644,1,1,1.5,0.7071067811865476
155,0,0.9046505126460354,1,1,1.0,0.0
155,1,0.09534945969074979,1,1,1.0,0.0
156,0,0.9149009617112335,1,0,4.5,4.949747468305833
156,1,0.0850990481680644,8,1,4.5,4.949747468305833
157,0,0.43782350042481233,5,0,3.0,2.8284271247461903
157,1,0.5621765025686553,1,0,3.0,2.8284271247461903
158,0,0.98756834804845,1,1,1.0,0.0
158,1,0.01243165364120602,1,0,1.0,0.0
159,0,0.8519528492100928,1,1,1.0,0.0
159,1,0.14804720844715558,1,0,1.0,0.0
160,0,0.43782350042481233,7,0,4.0,4.242640687119285
160,1,0.5621765025686553,1,0,4.0,4.242640687119285
161,0,0.9940889883329403,1,1,1.5,0.7071067811865476
161,1,0.005911069399992269,2,0,1.5,0.7071067811865476
162,0,0.9933071486460123,2,1,2.0,0.0
162,1,0.006692851264215723,2,1,2.0,0.0
163,0,0.9324532798296303,1,1,1.0,0.0
163,1,0.06754668601707708,1,1,1.0,0.0
164,0,0.017986211314027313,20,0,10.5,13.435028842544403
164,1,0.9820137577607906,1,0,10.5,13.435028842544403
165,0,0.6224593298742985,1,1,1.0,0.0
165,1,0.377540667992942,1,1,1.0,0.0
166,0,0.9796676467868737,1,1,3.5,3.5355339059327378
166,1,0.020332353231731236,6,1,3.5,3.5355339059327378
167,0,0.9465966588755665,1,0,1.5,0.7071067811865476
167,1,0.053403323988418246,2,0,1.5,0.7071067811865476
168,0,0.9626730730490257,2,0,3.0,1.4142135623730951
168,1,0.037326888033261264,4,0,3.0,1.4142135623730951
169,0,0.9740426242523998,2,1,6.0,5.656854249492381
169,1,0.02595735728365348,10,0,6.0,5.656854249492381
170,0,0.6224593298742985,1,0,1.0,0.0
170,1,0.377540667992942,1,0,1.0,0.0
171,0,0.9796676467868737,1,1,1.0,0.0
171,1,0.020332353231731236,1,0,1.0,0.0
172,0,0.754915012257653,2,0,1.5,0.7071067811865476
172,1,0.24508502137530588,1,0,1.5,0.7071067811865476
173,0,0.5312093941731293,20,1,10.5,13.435028842544403
173,1,0.468790644981626,1,1,10.5,13.435028842544403
174,0,0.24508502137530588,1,0,2.0,1.4142135623730951
174,1,0.754915012257653,3,1,2.0,1.4142135623730951
175,0,0.9241418055144026,1,1,1.0,0.0
175,1,0.07585817148650026,1,0,1.0,0.0
176,0,0.5312093941731293,3,0,2.0,1.4142135623730951
176,1,0.468790644981626,1,0,2.0,1.4142135623730951
177,0,0.9465966588755665,1,0,2.0,1.4142135623730951
177,1,0.053403323988418246,3,0,2.0,1.4142135623730951
178,0,0.9940889883329403,1,1,2.0,1.4142135623730951
178,1,0.005911069399992269,3,0,2.0,1.4142135623730951
179,0,0.9770226476651187,1,1,10.5,13.435028842544403
179,1,0.02297737289127478,20,0,10.5,13.435028842544403
180,0,0.5926665998515953,1,0,1.0,0.0
180,1,0.4073333999755006,1,0,1.0,0.0
181,0,0.6513548793721767,1,0,1.0,0.0
181,1,0.3486451328151311,1,0,1.0,0.0
182,0,0.10669059229582412,1,0,1.0,0.0
182,1,0.8933094388302324,1,1,1.0,0.0
183,0,0.7310585348819939,1,0,1.0,0.0
183,1,0.2689414052760013,1,0,1.0,0.0
184,0,0.8354835282744484,1,0,1.0,0.0
184,1,0.16451646851249135,1,0,1.0,0.0
