trial,pos,prob,bystander,urgency,mean_context,sd_context
0,0,1.522997974471263e-08,2,0,5.0,8.396427811873332
0,1,6.224144622907783e-11,20,0,5.0,8.396427811873332
0,2,5.602796437537268e-09,1,0,5.0,8.396427811873332
0,3,1.2015425731771786e-13,1,0,5.0,8.396427811873332
0,4,1.0,1,0,5.0,8.396427811873332
1,0,0.1191072601065802,1,1,1.2,0.4472135954999579
1,1,1.1596515901662972e-10,1,0,1.2,0.4472135954999579
1,2,5.197197857048452e-10,2,0,1.2,0.4472135954999579
1,3,0.0008025384058044242,1,1,1.2,0.4472135954999579
1,4,0.8800902136030795,1,1,1.2,0.4472135954999579
2,0,3.2661313427874473e-13,10,0,4.0,4.242640687119285
2,1,1.0,1,0,4.0,4.242640687119285
2,2,3.2661313427874473e-13,7,0,4.0,4.242640687119285
2,3,2.061153622438558e-09,1,0,4.0,4.242640687119285
2,4,6.224144622907783e-11,1,0,4.0,4.242640687119285
3,0,0.999876633606226,1,0,1.6,0.8944271909999159
3,1,5.108455654418009e-12,3,0,1.6,0.8944271909999159
3,2,4.59848523386639e-10,1,0,1.6,0.8944271909999159
3,3,0.0001233946226544279,1,0,1.6,0.8944271909999159
3,4,3.3978465363142988e-09,2,1,1.6,0.8944271909999159
4,0,1.2015425731771786e-13,1,0,3.2,3.1937438845342627
4,1,6.64554417291507e-17,1,0,3.2,3.1937438845342627
4,2,3.4872615319944465e-19,8,0,3.2,3.1937438845342627
4,3,2.444759076612131e-17,5,0,3.2,3.1937438845342627
4,4,1.0,1,1,3.2,3.1937438845342627
5,0,0.07585498841773138,1,0,3.4,4.277849927241488
5,1,4.195420849159217e-05,2,1,3.4,4.277849927241488
5,2,2.71693447766864e-11,2,0,3.4,4.277849927241488
5,3,2.863627871316686e-12,11,0,3.4,4.277849927241488
5,4,0.9241030209094891,1,1,3.4,4.277849927241488
6,0,2.497913739627548e-13,3,0,1.4,0.8944271909999161
6,1,0.9820137577607906,1,1,1.4,0.8944271909999161
6,2,5.288083428288547e-13,1,0,1.4,0.8944271909999161
6,3,2.8871957240548185e-11,1,0,1.4,0.8944271909999161
6,4,0.017986211314027313,1,1,1.4,0.8944271909999161
7,0,0.9999998807907247,1,0,1.4,0.8944271909999161
7,1,1.1253517471925912e-07,3,1,1.4,0.8944271909999161
7,2,5.905303998944039e-10,1,0,1.4,0.8944271909999161
7,3,1.3176514270095466e-10,1,0,1.4,0.8944271909999161
7,4,2.825757287115611e-15,1,0,1.4,0.8944271909999161
8,0,2.0879679116459336e-14,4,0,1.8,1.30384048104053
8,1,1.334793228597603e-15,2,0,1.8,1.30384048104053
8,2,1.4828213355760042e-17,1,0,1.8,1.30384048104053
8,3,1.8064461965456932e-16,1,0,1.8,1.30384048104053
8,4,1.0,1,1,1.8,1.30384048104053
9,0,1.8795288165390832e-12,1,0,1.0,0.0
9,1,1.0,1,0,1.0,0.0
9,2,3.775134544279098e-11,1,0,1.0,0.0
9,3,3.97896253583724e-12,1,0,1.0,0.0
9,4,1.8795288165390832e-12,1,0,1.0,0.0
10,0,6.224144622907783e-11,10,0,4.0,3.5355339059327378
10,1,1.026187963170189e-10,2,0,4.0,3.5355339059327378
10,2,4.1937956583795446e-13,4,0,4.0,3.5355339059327378
10,3,1.0,1,0,4.0,3.5355339059327378
10,4,1.783247290814639e-11,3,0,4.0,3.5355339059327378
11,0,3.7266389560521204e-06,1,1,1.0,0.0
11,1,1.5428053178454351e-13,1,0,1.0,0.0
11,2,4.910411138391444e-16,1,0,1.0,0.0
11,3,0.9999963045256735,1,1,1.0,0.0
11,4,5.982105403802484e-15,1,0,1.0,0.0
12,0,0.9999936819476216,1,0,1.2,0.4472135954999579
12,1,3.0988014071872133e-12,1,0,1.2,0.4472135954999579
12,2,6.144171336422507e-06,1,0,1.2,0.4472135954999579
12,3,6.914360542538626e-13,2,0,1.2,0.4472135954999579
12,4,1.8553789765836951e-07,1,0,1.2,0.4472135954999579
13,0,2.061153622438558e-09,1,0,1.8,1.788854381999832
13,1,2.289734845645553e-11,1,0,1.8,1.788854381999832
13,2,1.8795288165390832e-12,1,0,1.8,1.788854381999832
13,3,1.0,5,1,1.8,1.788854381999832
13,4,5.109089028063325e-12,1,0,1.8,1.788854381999832
14,0,7.681204685202095e-15,3,0,3.0,2.9154759474226504
14,1,0.9999991655356624,8,1,3.0,2.9154759474226504
14,2,5.109089028063325e-12,1,0,3.0,2.9154759474226504
14,3,8.315279260963632e-07,1,1,3.0,2.9154759474226504
14,4,2.6810038677818034e-14,2,0,3.0,2.9154759474226504
15,0,5.9821282237671354e-15,4,1,4.0,5.196152422706632
15,1,0.9999996423722521,1,1,4.0,5.196152422706632
15,2,1.8064461965456932e-16,13,0,4.0,5.196152422706632
15,3,3.059023205018258e-07,1,0,4.0,5.196152422706632
15,4,8.878265478459658e-13,1,0,4.0,5.196152422706632
16,0,9.862862046580453e-15,1,0,2.8,3.03315017762062
16,1,1.0,1,1,2.8,3.03315017762062
16,2,5.9821282237671354e-15,3,1,2.8,3.03315017762062
16,3,3.398267819495071e-09,1,1,2.8,3.03315017762062
16,4,2.3195228302435696e-16,8,0,2.8,3.03315017762062
17,0,4.139929822488149e-08,1,0,7.8,7.981227975693965
17,1,2.2603250957489616e-06,6,1,7.8,7.981227975693965
17,2,0.9999977350285647,1,0,7.8,7.981227975693965
17,3,4.1937876593567576e-13,11,1,7.8,7.981227975693965
17,4,7.004325306737087e-18,20,0,7.8,7.981227975693965
18,0,3.398267819495071e-09,1,1,3.4,3.911521443121589
18,1,9.862862046580453e-15,10,0,3.4,3.911521443121589
18,2,3.2661313427874473e-13,1,0,3.4,3.911521443121589
18,3,1.0,4,1,3.4,3.911521443121589
18,4,3.442477108469977e-14,1,0,3.4,3.911521443121589
19,0,0.9933071486460123,1,0,3.2,4.381780460041329
19,1,4.814923938759738e-11,1,0,3.2,4.381780460041329
19,2,0.006692851264215723,2,0,3.2,4.381780460041329
19,3,7.531808272438397e-10,1,1,3.2,4.381780460041329
19,4,5.9420995333906395e-15,11,0,3.2,4.381780460041329
20,0,1.626111044617819e-14,1,0,1.0,0.0
20,1,5.175555005801869e-17,1,0,1.0,0.0
20,2,3.8242466280971355e-16,1,0,1.0,0.0
20,3,1.0,1,1,1.0,0.0
20,4,2.6810038677818034e-14,1,0,1.0,0.0
21,0,2.543665647376923e-13,1,0,1.6,0.5477225575051661
21,1,4.1937956583795446e-13,2,0,1.6,0.5477225575051661
21,2,1.0,2,1,1.6,0.5477225575051661
21,3,2.0879679116459336e-14,2,0,1.6,0.5477225575051661
21,4,1.0815941557285693e-11,1,0,1.6,0.5477225575051661
22,0,3.3980150433190693e-09,10,1,3.0,3.9370039370059056
22,1,1.5426964429855265e-13,1,0,3.0,3.9370039370059056
22,2,1.6917720727675664e-10,1,1,3.0,3.9370039370059056
22,3,7.484626212190614e-05,1,1,3.0,3.9370039370059056
22,4,0.999925142169393,2,1,3.0,3.9370039370059056
23,0,5.1090792832586454e-12,3,0,2.4,2.1908902300206647
23,1,1.3709577789362383e-06,1,0,2.4,2.1908902300206647
23,2,0.9999985694905718,6,1,2.4,2.1908902300206647
23,3,1.463775722192624e-12,1,0,2.4,2.1908902300206647
23,4,2.543660795724355e-13,1,0,2.4,2.1908902300206647
24,0,3.775134544279098e-11,2,0,2.4,1.51657508881031
24,1,2.7894680928689246e-10,2,1,2.4,1.51657508881031
24,2,2.0879679116459336e-14,2,0,2.4,1.51657508881031
24,3,0.9999998807907247,5,1,2.4,1.51657508881031
24,4,6.82560337633487e-08,1,1,2.4,1.51657508881031
25,0,0.004025599618608873,1,1,6.4,8.35463942968217
25,1,8.745373374104776e-13,1,0,6.4,8.35463942968217
25,2,0.9850317262649564,1,1,6.4,8.35463942968217
25,3,0.010942714291916162,20,1,6.4,8.35463942968217
25,4,2.7834553343159737e-15,9,1,6.4,8.35463942968217
26,0,5.454994842887922e-18,12,1,3.8,4.764451699828639
26,1,1.2501528663867426e-09,1,0,3.8,4.764451699828639
26,2,8.533047625744066e-17,4,1,3.8,4.764451699828639
26,3,1.3887943864964021e-11,1,0,3.8,4.764451699828639
26,4,1.0,1,0,3.8,4.764451699828639
27,0,4.5990553786523166e-10,1,0,4.8,8.497058314499201
27,1,1.2015425731771786e-13,20,0,4.8,8.497058314499201
27,2,1.0,1,1,4.8,8.497058314499201
27,3,1.2664165549094176e-14,1,0,4.8,8.497058314499201
27,4,6.224144622907783e-11,1,0,4.8,8.497058314499201
28,0,0.25949645024788925,1,0,3.2,2.949576240750525
28,1,0.03511902140667983,1,1,3.2,2.949576240750525
28,2,1.4539056136833752e-09,8,0,3.2,2.949576240750525
28,3,1.7712196358130595e-08,4,0,3.2,2.949576240750525
28,4,0.7053844852584641,2,0,3.2,2.949576240750525
29,0,0.9999833109787883,1,1,1.8,1.0954451150103324
29,1,1.980974792071053e-13,1,0,1.8,1.0954451150103324
29,2,1.7832166796088387e-11,1,0,1.8,1.0954451150103324
29,3,6.224037779301199e-11,3,1,1.8,1.0954451150103324
29,4,1.670143001672819e-05,3,1,1.8,1.0954451150103324
30,0,0.9999997615814777,1,0,1.2,0.4472135954999579
30,1,7.991959892953932e-11,1,1,1.2,0.4472135954999579
30,2,3.97896253583724e-12,1,1,1.2,0.4472135954999579
30,3,1.8553913626159784e-07,1,0,1.2,0.4472135954999579
30,4,1.6052280551856116e-09,2,0,1.2,0.4472135954999579
31,0,1.026187963170189e-10,11,0,3.0,4.47213595499958
31,1,8.764248219443636e-08,1,0,3.0,4.47213595499958
31,2,1.8795288165390832e-12,1,0,3.0,4.47213595499958
31,3,0.9999998807907247,1,1,3.0,4.47213595499958
31,4,8.878265478459658e-13,1,0,3.0,4.47213595499958
32,0,0.18242458945658635,1,0,3.2,2.16794833886788
32,1,9.320239128651297e-13,4,0,3.2,2.16794833886788
32,2,0.8175702887284916,1,0,3.2,2.16794833886788
32,3,5.023327863028521e-06,4,1,3.2,2.16794833886788
32,4,2.8144683455557892e-14,6,0,3.2,2.16794833886788
33,0,0.0009110505356836584,1,1,2.4,2.6076809620810595
