trial,pos,prob,bystander,urgency,mean_context,sd_context
0,0,4.497573098545618e-06,1,1,1.4,0.5477225575051661
0,1,1.838057081061051e-08,2,0,1.4,0.5477225575051661
0,2,1.0577288197325206e-07,2,0,1.4,0.5477225575051661
0,3,0.06008637664441563,1,1,1.4,0.5477225575051661
0,4,0.9399090080774629,1,1,1.4,0.5477225575051661
1,0,7.582285643751932e-10,1,0,2.2,2.6832815729997477
1,1,8.423158496840455e-12,1,0,2.2,2.6832815729997477
1,2,3.535625324942473e-05,7,0,2.2,2.6832815729997477
1,3,0.9999645960934689,1,1,2.2,2.6832815729997477
1,4,7.680940976494396e-15,1,0,2.2,2.6832815729997477
2,0,3.9202928898756795e-07,1,0,1.6,0.8944271909999159
2,1,0.22270004078932287,2,1,1.6,0.8944271909999159
2,2,4.131954365942234e-08,1,0,1.6,0.8944271909999159
2,3,0.7772995421608091,1,1,1.6,0.8944271909999159
2,4,1.6886353087769626e-10,3,0,1.6,0.8944271909999159
3,0,4.5957933513085234e-10,20,0,5.4,8.203657720797475
3,1,0.9992902551383588,1,0,5.4,8.203657720797475
3,2,0.00070967033651176,1,0,5.4,8.203657720797475
3,3,1.1245535554187396e-07,3,1,5.4,8.203657720797475
3,4,6.219729948962804e-11,2,0,5.4,8.203657720797475
4,0,1.0815941557285693e-11,1,0,1.6,1.3416407864998738
4,1,1.463778514125909e-12,1,0,1.6,1.3416407864998738
4,2,1.0,4,1,1.6,1.3416407864998738
4,3,4.658886145103398e-15,1,0,1.6,1.3416407864998738
4,4,6.914400106940203e-13,1,0,1.6,1.3416407864998738
5,0,0.00015793358636625383,1,1,5.4,4.722287581247038
5,1,5.026679858104137e-07,8,0,5.4,4.722287581247038
5,2,5.584136914253118e-09,12,0,5.4,4.722287581247038
5,3,0.003172179367757484,5,1,5.4,4.722287581247038
5,4,0.9966693363973985,1,1,5.4,4.722287581247038
6,0,4.5990553786523166e-10,3,0,1.6,0.8944271909999159
6,1,1.0,1,1,1.6,0.8944271909999159
6,2,2.6810038677818034e-14,1,0,1.6,0.8944271909999159
6,3,2.825757287115611e-15,2,0,1.6,0.8944271909999159
6,4,5.384940217754036e-13,1,0,1.6,0.8944271909999159
7,0,0.001376970934463716,1,0,1.2,0.4472135954999579
7,1,0.5555097558762216,1,0,1.2,0.4472135954999579
7,2,0.43263143288020633,2,0,1.2,0.4472135954999579
7,3,0.0003072438916318912,1,0,1.2,0.4472135954999579
7,4,0.010174515481349357,1,0,1.2,0.4472135954999579
8,0,1.2501528663867426e-09,4,0,3.2,1.4832396974191326
8,1,2.7894680928689246e-10,3,0,3.2,1.4832396974191326
8,2,6.224144622907783e-11,3,0,3.2,1.4832396974191326
8,3,1.6918979226151304e-10,5,1,3.2,1.4832396974191326
8,4,1.0,1,0,3.2,1.4832396974191326
9,0,8.878265478459658e-13,1,0,1.2,0.4472135954999579
9,1,1.626111044617819e-14,1,0,1.2,0.4472135954999579
9,2,5.9821282237671354e-15,1,0,1.2,0.4472135954999579
9,3,6.778639342809131e-15,1,0,1.2,0.4472135954999579
9,4,1.0,2,1,1.2,0.4472135954999579
10,0,2.289734845645553e-11,20,0,5.0,8.396427811873332
10,1,1.463778514125909e-12,1,0,5.0,8.396427811873332
10,2,2.3659776091347615e-14,1,0,5.0,8.396427811873332
10,3,8.703945206726412e-15,2,0,5.0,8.396427811873332
