trial,i,control,prob_i,prob_control,delta_prob,delta_b,delta_pos
0,1,0,0.1180570681609584,0.17177202060919028,-0.05371495244823188,2,1
0,2,0,0.20719660726296943,0.17177202060919028,0.03542458665377915,0,2
0,3,0,0.16136487998613894,0.17177202060919028,-0.010407140623051342,5,3
0,4,0,0.34160945361135836,0.17177202060919028,0.16983743300216808,0,4
1,0,1,0.12549539890844108,0.12549539890844108,0.0,0,-1
1,2,1,0.22025128428134988,0.12549539890844108,0.0947558853729088,1,1
1,3,1,0.1422049171401043,0.12549539890844108,0.016709518231663223,0,2
1,4,1,0.38655301913911366,0.12549539890844108,0.2610576202306726,0,3
2,0,2,0.21318002218171925,0.21318002218171925,0.0,0,-2
2,1,2,0.12146631521490082,0.21318002218171925,-0.09171370696681842,1,-1
2,3,2,0.10069911219123177,0.21318002218171925,-0.11248090999048747,1,1
2,4,2,0.3514744370593257,0.21318002218171925,0.13829441487760644,2,2
3,0,3,0.048105696105160536,0.025749123617148654,0.022356572488011883,0,-3
3,1,3,0.16790539763032858,0.025749123617148654,0.14215627401317993,1,-2
3,2,3,0.4027841100991169,0.025749123617148654,0.37703498648196826,0,-1
3,4,3,0.35545572957276333,0.025749123617148654,0.3297066059556147,0,1
4,0,4,0.10832466601226787,0.4560638242638729,-0.347739158251605,0,-4
4,1,4,0.19011568688494238,0.4560638242638729,-0.2659481373789305,1,-3
4,2,4,0.12274792772078194,0.4560638242638729,-0.3333158965430909,0,-2
4,3,4,0.12274792772078194,0.4560638242638729,-0.3333158965430909,0,-1
5,1,0,0.013698340104986741,0.14727099998392426,-0.13357265987893752,19,1
5,2,0,0.03963745191936892,0.14727099998392426,-0.10763354806455534,1,2
5,3,0,0.0032536409619846147,0.14727099998392426,-0.14401735902193966,19,3
5,4,0,0.796139551521174,0.14727099998392426,0.6488685515372498,0,4
6,0,1,0.1274116849506997,0.1443763364935217,-0.01696465154282198,0,-1
6,2,1,0.1741511043790681,0.1443763364935217,0.02977476788554642,6,1
6,3,1,0.36867789086360286,0.1443763364935217,0.22430155437008117,0,2
6,4,1,0.18538288562594377,0.1443763364935217,0.04100654913242208,0,3
7,0,2,0.00898007881322431,0.7133760413494631,-0.7043959625362388,19,-2
7,1,2,0.011530649440039105,0.7133760413494631,-0.701845391909424,6,-1
7,3,2,0.21756739373888065,0.7133760413494631,-0.4958086476105824,0,1
7,4,2,0.04854584740803293,0.7133760413494631,-0.6648301939414302,2,2
8,0,3,0.15902259232319368,0.14033694516619127,0.01868564715700241,0,-3
8,1,3,0.2790933412187201,0.14033694516619127,0.13875639605252882,0,-2
8,2,3,0.2041890503705536,0.14033694516619127,0.06385210520436232,6,-1
8,4,3,0.21735811269115402,0.14033694516619127,0.07702116752496274,1,1
9,0,4,0.056337964702310124,0.13514775163676218,-0.07880978693445206,0,-4
9,1,4,0.3451118738605426,0.13514775163676218,0.20996412222378041,0,-3
9,2,4,0.39106300930923854,0.13514775163676218,0.25591525767247636,0,-2
9,3,4,0.07233937860222303,0.13514775163676218,-0.06280837303453915,0,-1
10,1,0,0.13461213062617158,0.06768723005678828,0.0669249005693833,0,1
10,2,0,0.10483603274257267,0.06768723005678828,0.03714880268578438,0,2
10,3,0,0.44137615764841825,0.06768723005678828,0.37368892759162997,2,3
10,4,0,0.2514885688636833,0.06768723005678828,0.18380133880689503,0,4
11,0,1,0.3147840562165372,0.09600370156648351,0.2187803546500537,2,-1
11,2,1,0.17935854873131624,0.09600370156648351,0.08335484716483273,0,1
11,3,1,0.07476775795773082,0.09600370156648351,-0.021235943608752694,0,2
11,4,1,0.3350858835981918,0.09600370156648351,0.23908218203170828,2,3
12,0,2,0.12330678950879267,0.4303830100220698,-0.3070762205132771,0,-2
12,1,2,0.048287632579094894,0.4303830100220698,-0.3820953774429749,0,-1
12,3,2,0.29579761093104406,0.4303830100220698,-0.13458539909102574,0,1
12,4,2,0.10222491897213062,0.4303830100220698,-0.3281580910499392,0,2
13,0,3,0.07564837518641221,0.2810678449162968,-0.20541946972988462,3,-3
13,1,3,0.11716649553115777,0.2810678449162968,-0.16390134938513906,0,-2
13,2,3,0.06271470577257139,0.2810678449162968,-0.21835313914372545,1,-1
13,4,3,0.4634025344233435,0.2810678449162968,0.18233468950704668,0,1
14,0,4,0.08800855823314817,0.34808055859128584,-0.26007200035813766,4,-4
