trial,i,control,prob_i,prob_control,delta_prob,delta_b,delta_pos
0,1,0,9.422608182354469e-05,9.422608182354469e-05,0.0,5,1
0,2,0,0.0014739439118551037,9.422608182354469e-05,0.001379717830031559,0,2
0,3,0,0.9803812907195555,9.422608182354469e-05,0.980287064637732,0,3
0,4,0,0.017956312804590455,9.422608182354469e-05,0.01786208672276691,1,4
1,0,1,0.006242071407580942,0.04612301580414659,-0.03988094439656565,1,-1
1,2,1,0.013214465273546357,0.04612301580414659,-0.03290855053060024,0,1
1,3,1,0.008014978340113757,0.04612301580414659,-0.03810803746403284,1,2
1,4,1,0.926405467920366,0.04612301580414659,0.8802824521162195,3,3
2,0,2,1.8544547404333208e-06,0.00045377033010767567,-0.00045191587536724234,0,-2
2,1,2,0.4976195606466666,0.00045377033010767567,0.49716579031655894,0,-1
2,3,2,0.004305253022438832,0.00045377033010767567,0.0038514826923311566,0,1
2,4,2,0.4976195606466666,0.00045377033010767567,0.49716579031655894,0,2
3,0,3,0.0002204404925949394,0.007299986542278184,-0.007079546049683244,0,-3
3,1,3,0.0020914811613775325,0.007299986542278184,-0.005208505380900652,1,-2
3,2,3,0.14662418419162704,0.007299986542278184,0.13932419764934886,0,-1
3,4,3,0.8437639101432318,0.007299986542278184,0.8364639236009537,1,1
4,0,4,1.277987154705891e-05,0.014014830898961205,-0.014002051027414145,16,-4
4,1,4,0.9825156967891918,0.014014830898961205,0.9685008658902307,0,-3
4,2,4,0.0031271314629383764,0.014014830898961205,-0.010887699436022828,0,-2
4,3,4,0.0003295972312967133,0.014014830898961205,-0.013685233667664491,2,-1
5,1,0,0.003025134134045528,0.008223167145227148,-0.00519803301118162,1,1
5,2,0,0.9504689512216912,0.008223167145227148,0.942245784076464,0,2
5,3,0,0.03685367831832757,0.008223167145227148,0.028630511173100427,10,3
5,4,0,0.0014289721824782607,0.008223167145227148,-0.0067941949627488875,19,4
6,0,1,0.04022541138331329,0.08515719656672592,-0.04493178518341263,0,-1
6,2,1,0.06632049137033169,0.08515719656672592,-0.01883670519639423,19,1
6,3,1,0.00034801799870856577,0.08515719656672592,-0.08480917856801735,4,2
6,4,1,0.8079489133536875,0.08515719656672592,0.7227917167869615,0,3
7,0,2,0.000708379849206915,0.4711730139694991,-0.4704646341202922,19,-2
7,1,2,0.4711730139694991,0.4711730139694991,0.0,0,-1
7,3,2,0.03867623850858797,0.4711730139694991,-0.43249677546091114,0,1
7,4,2,0.018269357101536304,0.4711730139694991,-0.4529036568679628,1,2
8,0,3,0.005940974221259984,0.5347895840319329,-0.5288486098106729,0,-3
8,1,3,0.016149242268994644,0.5347895840319329,-0.5186403417629383,1,-2
8,2,3,0.026625605582619363,0.5347895840319329,-0.5081639784493135,0,-1
8,4,3,0.4164945468225002,0.5347895840319329,-0.11829503720943269,2,1
9,0,4,0.000331367551381487,0.0007015051117795093,-0.0003701375603980223,0,-4
9,1,4,0.00020098457954677325,0.0007015051117795093,-0.000500520532232736,0,-3
9,2,4,0.9877927884951132,0.0007015051117795093,0.9870912833833337,0,-2
9,3,4,0.01097338622844314,0.0007015051117795093,0.01027188111666363,0,-1
10,1,0,0.035004464688976826,0.002873341435824977,0.03213112325315185,0,1
10,2,0,0.7030833841727873,0.002873341435824977,0.7002100427369623,0,2
10,3,0,0.00038886447705286867,0.002873341435824977,-0.0024844769587721084,1,3
10,4,0,0.2586499224664115,0.002873341435824977,0.25577658103058654,0,4
11,0,1,4.7990128316919827e-05,0.11141261119986626,-0.11136462107154933,8,-1
11,2,1,0.49931662238908153,0.11141261119986626,0.38790401118921525,0,1
11,3,1,0.0003546019194159322,0.11141261119986626,-0.11105800928045033,7,2
11,4,1,0.3888681765171857,0.11141261119986626,0.2774555653173194,0,3
12,0,2,0.0006726149703137327,0.004969989748628745,-0.004297374778315013,0,-2
12,1,2,0.010521468380411876,0.004969989748628745,0.005551478631783131,0,-1
12,3,2,0.03672353306372804,0.004969989748628745,0.031753543315099296,0,1
12,4,2,0.9471124359565114,0.004969989748628745,0.9421424462078827,0,2
13,0,3,4.78380330085558e-06,0.9997254172201929,-0.9997206334168921,7,-3
13,1,3,4.78380330085558e-06,0.9997254172201929,-0.9997206334168921,1,-2
13,2,3,3.725629756765897e-06,0.9997254172201929,-0.9997216915904361,2,-1
13,4,3,0.0002611868103491636,0.9997254172201929,-0.9994642304098438,18,1
14,0,4,0.0047227643436041885,0.021165961340513215,-0.016443196996909028,0,-4
14,1,4,0.0002351325912603318,0.021165961340513215,-0.020930828749252884,0,-3
14,2,4,0.07387646410276989,0.021165961340513215,0.05271050276225668,10,-2
