trial,i,control,prob_i,prob_control,delta_prob,delta_b,delta_pos
0,1,0,1.3173825398392565e-10,0.00020342704214340812,-0.00020342691040515414,2,1
0,2,0,1.0259785536314092e-10,0.00020342704214340812,-0.00020342693954555275,0,2
0,3,0,2.2892675898063074e-11,0.00020342704214340812,-0.00020342701925073222,0,3
0,4,0,0.9997965511486372,0.00020342704214340812,0.9995931241064938,0,4
1,0,1,2.2603250957489616e-06,0.9999977350285647,-0.999995474703469,2,-1
1,2,1,3.442470542472232e-14,0.9999977350285647,-0.9999977350285303,0,1
1,3,1,1.20154028141878e-13,0.9999977350285647,-0.9999977350284446,0,2
1,4,1,3.775127343788253e-11,0.9999977350285647,-0.9999977349908135,11,3
2,0,2,0.9999895096921129,1.0129987330277146e-05,0.9999793797047826,1,-2
2,1,2,9.357533728018829e-14,1.0129987330277146e-05,-1.0129987236701808e-05,4,-1
2,3,2,3.0589911147560753e-07,1.0129987330277146e-05,-9.824088218801538e-06,0,1
2,4,2,1.4828043661296218e-17,1.0129987330277146e-05,-1.0129987330262318e-05,14,2
3,0,3,1.0,3.398267819495071e-09,0.9999999966017322,1,-3
3,1,3,5.602796437537268e-09,3.398267819495071e-09,2.2045286180421968e-09,0,-2
3,2,3,3.0988191387218256e-12,3.398267819495071e-09,-3.395169000356349e-09,1,-1
3,4,3,8.423463754468647e-12,3.398267819495071e-09,-3.3898443557406025e-09,0,1
4,0,4,4.719495271526123e-20,6.82560337633487e-08,-6.82560337633015e-08,15,-4
4,1,4,8.201253044288238e-21,6.82560337633487e-08,-6.82560337633405e-08,3,-3
4,2,4,0.9999998807907247,6.82560337633487e-08,0.999999812534691,0,-2
4,3,4,8.644057113036095e-22,6.82560337633487e-08,-6.825603376334784e-08,19,-1
5,1,0,0.0015011812350883861,3.769464813925645e-11,0.001501181197393738,0,1
5,2,0,1.623668850560994e-14,3.769464813925645e-11,-3.7678411450750846e-11,0,2
5,3,0,0.9984983140741062,3.769464813925645e-11,0.9984983140364115,2,3
5,4,0,5.035902020806884e-07,3.769464813925645e-11,5.035525074325491e-07,0,4
