trial,i,control,prob_i,prob_control,delta_prob,delta_b,delta_pos
0,1,0,0.04577174381603126,0.20513472399062121,-0.15936298017458994,0,1
0,2,0,0.051866180699306895,0.20513472399062121,-0.1532685432913143,1,2
0,3,0,0.49209259198485594,0.20513472399062121,0.2869578679942347,0,3
0,4,0,0.20513472399062121,0.20513472399062121,0.0,17,4
1,0,1,0.06446376397592686,0.32737404520965546,-0.2629102812337286,19,-1
1,2,1,0.19856239561380581,0.32737404520965546,-0.12881164959584965,0,1
1,3,1,0.2549591627665332,0.32737404520965546,-0.07241488244312227,0,2
1,4,1,0.15464054919256606,0.32737404520965546,-0.1727334960170894,1,3
2,0,2,0.1551868439082399,0.22579552554818397,-0.07060868163994408,0,-2
2,1,2,0.06469150889095067,0.22579552554818397,-0.16110401665723328,1,-1
2,3,2,0.22579552554818397,0.22579552554818397,0.0,0,1
2,4,2,0.3285305511318124,0.22579552554818397,0.10273502558362843,0,2
3,0,3,0.11341619834989486,0.5759749808246981,-0.46255878247480325,0,-3
3,1,3,0.1285173897129037,0.5759749808246981,-0.4474575911117944,0,-2
3,2,3,0.05357401863953099,0.5759749808246981,-0.5224009621851671,0,-1
3,4,3,0.1285173897129037,0.5759749808246981,-0.4474575911117944,0,1
4,0,4,0.1332811393775039,0.4651969416445545,-0.3319158022670506,0,-4
4,1,4,0.1037994557158491,0.4651969416445545,-0.3613974859287054,0,-3
4,2,4,0.1939229366422142,0.4651969416445545,-0.27127400500234033,0,-2
4,3,4,0.1037994557158491,0.4651969416445545,-0.3613974859287054,2,-1
5,1,0,0.052179435071427846,0.30027188089930623,-0.24809244582787837,0,1
5,2,0,0.12517195764600858,0.30027188089930623,-0.17509992325329765,0,2
5,3,0,0.1821241020150095,0.30027188089930623,-0.11814777888429673,0,3
5,4,0,0.34025261734051515,0.30027188089930623,0.03998073644120892,0,4
6,0,1,0.13239252426325626,0.16999536613346952,-0.03760284187021326,0,-1
6,2,1,0.2473417982490759,0.16999536613346952,0.07734643211560638,7,1
6,3,1,0.2802749760647074,0.16999536613346952,0.11027960993123789,0,2
6,4,1,0.16999536613346952,0.16999536613346952,0.0,2,3
7,0,2,0.2350449523461612,0.12581049695898425,0.10923445538717697,0,-2
7,1,2,0.12581049695898425,0.12581049695898425,0.0,1,-1
7,3,2,0.12581049695898425,0.12581049695898425,0.0,0,1
7,4,2,0.38752361250381395,0.12581049695898425,0.2617131155448297,0,2
8,0,3,0.2771312878458101,0.07006976280378346,0.20706152504202663,0,-3
8,1,3,0.033098612307003776,0.07006976280378346,-0.03697115049677969,1,-2
8,2,3,0.10195090330383873,0.07006976280378346,0.03188114050005526,0,-1
8,4,3,0.5177494081959202,0.07006976280378346,0.4476796453921367,0,1
