trial,i,control,prob_i,prob_control,delta_prob,delta_b,delta_pos
0,1,0,1.3176514270095466e-10,2.510999155743982e-08,-2.4978226414738863e-08,0,1
0,2,0,1.0,2.510999155743982e-08,0.9999999748900085,0,2
0,3,0,3.775134544279098e-11,2.510999155743982e-08,-2.507224021199703e-08,1,3
0,4,0,1.3176514270095466e-10,2.510999155743982e-08,-2.4978226414738863e-08,0,4
1,0,1,1.0815941557285693e-11,2.172439935079017e-10,-2.0642805195061602e-10,1,-1
1,2,1,1.0,2.172439935079017e-10,0.999999999782756,4,1
1,3,1,2.493722053335376e-15,2.172439935079017e-10,-2.1724149978584837e-10,1,2
1,4,1,1.2664165549094176e-14,2.172439935079017e-10,-2.172313293423526e-10,2,3
2,0,2,9.237432042950414e-09,0.9999982118638471,-0.999998202626415,2,-2
2,1,2,1.7603429545652396e-06,0.9999982118638471,-0.9999964515208926,19,-1
2,3,2,2.940072131536564e-11,0.9999982118638471,-0.9999982118344464,0,1
2,4,2,3.0988132281990144e-12,0.9999982118638471,-0.9999982118607482,0,2
3,0,3,0.0024726194875141338,2.504785489856568e-08,0.002472594439659235,0,-3
3,1,3,1.3675678439740226e-06,2.504785489856568e-08,1.342519989075457e-06,0,-2
3,2,3,0.9975259867292396,2.504785489856568e-08,0.9975259616813847,15,-1
3,4,3,1.6012557914812571e-09,2.504785489856568e-08,-2.3446599107084422e-08,0,1
4,0,4,4.406472598859022e-05,5.6580228148730706e-05,-1.2515502160140487e-05,0,-4
4,1,4,0.029309276815826263,5.6580228148730706e-05,0.029252696587677533,0,-3
4,2,4,0.9705900586182595,5.6580228148730706e-05,0.9705334783901108,8,-2
4,3,4,5.1594440451471334e-08,5.6580228148730706e-05,-5.6528633708279236e-05,0,-1
5,1,0,1.5229950695859287e-08,3.224180587614433e-08,-1.7011855180285044e-08,0,1
5,2,0,0.9999985694905718,3.224180587614433e-08,0.9999985372487659,0,2
5,3,0,1.3709577789362383e-06,3.224180587614433e-08,1.3387159730600938e-06,0,3
5,4,0,5.315775115378354e-08,3.224180587614433e-08,2.0915945277639208e-08,0,4
6,0,1,0.9350913303692611,0.00490690925350227,0.9301844211157588,0,-1
6,2,1,0.059778392346511396,0.00490690925350227,0.05487148309300913,0,1
6,3,1,0.00019026151920669692,0.00490690925350227,-0.004716647734295572,0,2
6,4,1,3.306249447942033e-05,0.00490690925350227,-0.004873846759022849,0,3
7,0,2,5.821965995658298e-05,0.0011693731297133779,-0.0011111534697567948,0,-2
7,1,2,5.821965995658298e-05,0.0011693731297133779,-0.0011111534697567948,0,-1
7,3,2,0.9987133627461258,0.0011693731297133779,0.9975439896164124,3,1
7,4,2,8.30458847723097e-07,0.0011693731297133779,-0.0011685426708656548,1,2
8,0,3,1.3652404997843889e-06,4.765157563664126e-06,-3.3999170638797377e-06,6,-3
8,1,3,9.57107481897828e-05,4.765157563664126e-06,9.094559062611867e-05,0,-2
8,2,3,0.004069722631469678,4.765157563664126e-06,0.004064957473906014,0,-1
8,4,3,0.9958284600213277,4.765157563664126e-06,0.9958236948637641,0,1
9,0,4,3.5728914266612157e-10,0.002472623024627213,-0.0024726226673380705,6,-4
9,1,4,0.9975274099865513,0.002472623024627213,0.9950547869619241,0,-3
9,2,4,5.371625003096026e-13,0.002472623024627213,-0.002472623024090051,15,-2
9,3,4,2.239226447746183e-13,0.002472623024627213,-0.0024726230244032908,18,-1
10,1,0,0.9989550315307467,0.0007094321448743599,0.9982455993858723,0,1
10,2,0,0.00033511217647186526,0.0007094321448743599,-0.0003743199684024946,1,2
10,3,0,4.358903826871988e-09,0.0007094321448743599,-0.000709427785970533,0,3
10,4,0,5.03820780151819e-07,0.0007094321448743599,-0.000708928324094208,1,4
11,0,1,3.7266389560521204e-06,0.9999959469005546,-0.9999922202615985,8,-1
11,2,1,1.3887890886763582e-11,0.9999959469005546,-0.9999959468866667,1,1
11,3,1,3.0988073176874773e-12,0.9999959469005546,-0.9999959468974557,4,2
11,4,1,3.0590115357930596e-07,0.9999959469005546,-0.999995640999401,0,3
12,0,2,8.764248219443636e-08,8.315279260963632e-07,-7.438854439019268e-07,6,-2
12,1,2,0.9999990463265931,8.315279260963632e-07,0.999998214798667,0,-1
12,3,2,3.398267819495071e-09,8.315279260963632e-07,-8.281296582768681e-07,8,1
12,4,2,1.6052280551856116e-09,8.315279260963632e-07,-8.299226980411776e-07,0,2
13,0,3,0.24024736777993733,0.5086037118964214,-0.26835634411648407,0,-3
13,1,3,0.06883202330198632,0.5086037118964214,-0.43977168859443505,0,-2
13,2,3,0.11348482092331172,0.5086037118964214,-0.3951188909731097,1,-1
13,4,3,0.06883202330198632,0.5086037118964214,-0.43977168859443505,1,1
14,0,4,3.92783732425049e-07,3.726628294067796e-06,-3.333844561642747e-06,2,-4
14,1,4,0.9999936819476216,3.726628294067796e-06,0.9999899553193276,0,-3
14,2,4,2.260314317704706e-06,3.726628294067796e-06,-1.4663139763630901e-06,3,-2
14,3,4,2.6465584951366085e-09,3.726628294067796e-06,-3.7239817355726592e-06,1,-1
15,1,0,4.8473687062702556e-11,5.602796437537268e-09,-5.554322750474565e-09,0,1
15,2,0,1.2501528663867426e-09,5.602796437537268e-09,-4.352643571150525e-09,0,2
15,3,0,3.2661313427874473e-13,5.602796437537268e-09,-5.602469824402989e-09,0,3
15,4,0,1.0,5.602796437537268e-09,0.9999999943972036,6,4
16,0,1,8.92246039932795e-06,1.5504911288716513e-06,7.371969270456299e-06,0,-1
16,2,1,0.8807877938783011,1.5504911288716513e-06,0.8807862433871723,1,1
16,3,1,1.160572089014163e-10,1.5504911288716513e-06,-1.55037507166275e-06,0,2
16,4,1,0.11920166200338471,1.5504911288716513e-06,0.11920011151225583,0,3
17,0,2,0.000430407262646952,0.9992214546856206,-0.9987910474229736,0,-2
17,1,2,0.00033520135335256713,0.9992214546856206,-0.9988862533322681,2,-1
17,3,2,2.5090458607387923e-08,0.9992214546856206,-0.999221429595162,0,1
17,4,2,1.2997166940366927e-05,0.9992214546856206,-0.9992084575186803,0,2
18,0,3,0.991393302115605,4.559471993562293e-10,0.9913933016596578,1,-3
18,1,3,0.008577231350283317,4.559471993562293e-10,0.008577230894336117,0,-2
18,2,3,1.655795173753641e-05,4.559471993562293e-10,1.6557495790337056e-05,0,-1
18,4,3,1.2895345779251885e-05,4.559471993562293e-10,1.2894889832052528e-05,0,1
19,0,4,1.8795288165390832e-12,6.305116760146989e-16,1.8788983048630686e-12,0,-4
19,1,4,1.5428112031918877e-13,6.305116760146989e-16,1.5365060864317407e-13,0,-3
19,2,4,1.0,6.305116760146989e-16,0.9999999999999993,2,-2
19,3,4,1.9421126879000225e-15,6.305116760146989e-16,1.3116010118853236e-15,2,-1
20,1,0,0.010633701644116901,0.0008728673848242862,0.009760834259292615,3,1
20,2,0,0.028905397948458044,0.0008728673848242862,0.028032530563633758,0,2
20,3,0,0.9572154133884838,0.0008728673848242862,0.9563425460036595,0,3
20,4,0,0.0023726995508224257,0.0008728673848242862,0.0014998321659981395,0,4
21,0,1,0.0008675167515057859,0.4493848564654626,-0.44851733971395685,1,-1
21,2,1,0.4493848564654626,0.4493848564654626,0.0,0,1
21,3,1,0.10027130303814631,0.4493848564654626,-0.3491135534273163,0,2
21,4,1,9.143563650303606e-05,0.4493848564654626,-0.44929342082895957,0,3
22,0,2,0.010986601055316372,3.6855940617329396e-06,0.010982915461254638,1,-2
22,1,2,2.7233061280030365e-05,3.6855940617329396e-06,2.3547467218297427e-05,0,-1
22,3,2,1.934024109513966e-08,3.6855940617329396e-06,-3.6662538206378e-06,5,1
22,4,2,0.9889825096132421,3.6855940617329396e-06,0.9889788240191804,0,2
23,0,3,2.172439935079017e-10,1.0,-0.999999999782756,19,-3
23,1,3,1.626111044617819e-14,1.0,-0.9999999999999838,3,-2
23,2,3,6.560200168153779e-12,1.0,-0.9999999999934398,19,-1
23,4,3,1.334793228597603e-15,1.0,-0.9999999999999987,5,1
24,0,4,0.21012881880019119,0.04688607699068705,0.16324274180950413,0,-4
24,1,4,0.001415837181617971,0.04688607699068705,-0.04547023980906908,1,-3
24,2,4,0.008147580434127187,0.04688607699068705,-0.038738496556559865,1,-2
24,3,4,0.7334216865743605,0.04688607699068705,0.6865356095836734,0,-1
25,1,0,0.0011672561661135196,0.9969053964727632,-0.9957381403066496,5,1
25,2,0,0.001924480069427242,0.9969053964727632,-0.994980916403336,0,2
25,3,0,3.387751393034294e-09,0.9969053964727632,-0.9969053930850118,0,3
25,4,0,2.8933387624811152e-06,0.9969053964727632,-0.9969025031340008,0,4
26,0,1,0.9993897826000571,0.00043047971640874157,0.9989593028836483,0,-1
26,2,1,2.1432323071820697e-05,0.00043047971640874157,-0.00040904739333692087,0,1
26,3,1,0.0001583646375080888,0.00043047971640874157,-0.0002721150789006528,1,2
26,4,1,9.231813290394972e-09,0.00043047971640874157,-0.0004304704845954512,0,3
27,0,2,3.223104580826177e-08,1.5224867999686346e-08,1.7006177808575425e-08,0,-2
27,1,2,9.732932483743923e-10,1.5224867999686346e-08,-1.4251574751311955e-08,0,-1
27,3,2,0.0003353500342255387,1.5224867999686346e-08,0.000335334809357539,0,1
